id,topic,source_lang,original_text,cleaned_original_text,matched_terms,user_prompt,assistant_target
144,Cloud Computing Fundamentals,fr,Un CDN distribue le contenu عبر عدة خوادم.,Un CDN distribue le contenu à travers plusieurs serveurs.,serveur=خادم | CDN=شبكة توزيع المحتوى | contenu=محتوى | serveurs=خوادم,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- serveur = خادم
- CDN = شبكة توزيع المحتوى
- contenu = محتوى
- serveurs = خوادم

Text:
Un CDN distribue le contenu à travers plusieurs serveurs.",شبكة توزيع المحتوى توزع البيانات عبر خوادم متعددة.
45,Cybersecurity Basics,ar,تشير البرمجيات الخبيثة إلى برامج ضارة صممت لإلحاق الضرر بالنظام أو سرقة المعلومات.,تشير البرمجيات الخبيثة إلى برامج ضارة صممت لإلحاق الضرر بالنظام أو سرقة المعلومات.,malware=برمجيات خبيثة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- malware = برمجيات خبيثة

Text:
تشير البرمجيات الخبيثة إلى برامج ضارة صممت لإلحاق الضرر بالنظام أو سرقة المعلومات.",البرمجيات الخبيثة هي برامج مضرة يمكن أن تفسد النظام أو تسرق المعلومات.
42,Cybersecurity Basics,fr,Un pare-feu filtre le trafic réseau entrant et sortant afin de bloquer les connexions non autorisées.,Un pare-feu filtre le trafic réseau entrant et sortant afin de bloquer les connexions non autorisées.,réseau=شبكة | pare-feu=جدار ناري,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- réseau = شبكة
- pare-feu = جدار ناري

Text:
Un pare-feu filtre le trafic réseau entrant et sortant afin de bloquer les connexions non autorisées.",الجدار الناري يراقب حركة الشبكة ويمنع الاتصالات غير المسموح بها.
124,Databases,fr,La clause ORDER BY permet de trier les résultats d'une requête.,La clause ORDER BY permet de trier les résultats d'une requête.,requête=استعلام,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- requête = استعلام

Text:
La clause ORDER BY permet de trier les résultats d'une requête.",ORDER BY يُستخدم لترتيب نتائج الاستعلام.
132,Networking,fr,Une adresse IPv6 est une version plus récente des adresses IP.,Une adresse IPv6 est une version plus récente des adresses IP.,adresse IP=عنوان IP,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- adresse IP = عنوان IP

Text:
Une adresse IPv6 est une version plus récente des adresses IP.",IPv6 هو إصدار أحدث من عناوين IP.
59,Web Development,fr,Un serveur web est responsable de recevoir les requêtes des utilisateurs et de renvoyer les pages demandées.,Un serveur web est responsable de recevoir les requêtes des utilisateurs et de renvoyer les pages demandées.,requête=استعلام | serveur=خادم | page web=صفحة ويب | serveur web=خادم ويب | serveurs=خوادم,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- requête = استعلام
- serveur = خادم
- page web = صفحة ويب
- serveur web = خادم ويب
- serveurs = خوادم

Text:
Un serveur web est responsable de recevoir les requêtes des utilisateurs et de renvoyer les pages demandées.",خادم الويب يستقبل طلبات المستخدمين ويرسل صفحات الموقع المطلوبة.
150,Algorithms,ar,يساعد تحليل الخوارزميات على فهم أدائها.,يساعد تحليل الخوارزميات على فهم أدائها.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
يساعد تحليل الخوارزميات على فهم أدائها.",تحليل الخوارزميات يدرس كفاءة الخوارزمية من حيث الوقت والذاكرة.
138,Software Engineering,ar,تساعد نماذج التصميم على حل المشاكل البرمجية المتكررة.,تساعد نماذج التصميم على حل المشاكل البرمجية المتكررة.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تساعد نماذج التصميم على حل المشاكل البرمجية المتكررة.",أنماط التصميم تقدم حلولًا جاهزة لمشاكل البرمجة الشائعة.
147,Algorithms,fr,Le tri rapide divise la liste en sous-parties plus petites.,Le tri rapide divise la liste en sous-parties plus petites.,liste=قائمة | API=واجهة برمجة التطبيقات,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- liste = قائمة
- API = واجهة برمجة التطبيقات

Text:
Le tri rapide divise la liste en sous-parties plus petites.",الفرز السريع يقسم القائمة إلى أجزاء أصغر.
53,Databases,ar,يُستخدم القيد الفريد لضمان عدم تكرار القيم داخل عمود معين.,يُستخدم القيد الفريد لضمان عدم تكرار القيم داخل عمود معين.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
يُستخدم القيد الفريد لضمان عدم تكرار القيم داخل عمود معين.",القيد الفريد يمنع تكرار نفس القيمة داخل العمود.
49,Cloud Computing Fundamentals,ar,تسمح الافتراضية بتشغيل عدة أنظمة أو بيئات عمل على نفس الجهاز المادي.,تسمح الافتراضية بتشغيل plusieurs أنظمة أو بيئات عمل على نفس الجهاز المادي.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تسمح الافتراضية بتشغيل plusieurs أنظمة أو بيئات عمل على نفس الجهاز المادي.",الافتراضية تعني تشغيل أكثر من نظام أو بيئة عمل على جهاز واحد.
24,Web Development,ar,تعمل الواجهة الأمامية على عرض العناصر التي يراها المستخدم ويتفاعل معها مباشرة داخل المتصفح.,تعمل الواجهة الأمامية على عرض العناصر التي يراها utilisateur ويتفاعل معها مباشرة داخل navigateur.,navigateur=متصفح,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- navigateur = متصفح

Text:
تعمل الواجهة الأمامية على عرض العناصر التي يراها utilisateur ويتفاعل معها مباشرة داخل navigateur.",الواجهة الأمامية هي الجزء الذي يراه المستخدم ويتعامل معه مباشرة في الموقع.
81,Operating Systems,fr,Le multitâche permet au système d'exploitation d'exécuter plusieurs programmes simultanément.,Le multitâche permet au système d'exploitation d'exécuter plusieurs programmes simultanément.,programme=برنامج | système d'exploitation=نظام تشغيل,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- programme = برنامج
- système d'exploitation = نظام تشغيل

Text:
Le multitâche permet au système d'exploitation d'exécuter plusieurs programmes simultanément.",تعدد المهام يسمح للنظام بتشغيل عدة برامج في نفس الوقت.
142,Cloud Computing Fundamentals,fr,Un service cloud géré est administré par le fournisseur.,Un service cloud géré est administré par le fournisseur.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
Un service cloud géré est administré par le fournisseur.",الخدمة السحابية المُدارة يديرها مزود الخدمة.
14,Algorithms,ar,تُستخدم خوارزميات الفرز لترتيب البيانات وفق ترتيب معيّن مثل التصاعدي أو التنازلي.,تُستخدم خوارزميات الفرز لترتيب données وفق ترتيب معيّن مثل التصاعدي أو التنازلي.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تُستخدم خوارزميات الفرز لترتيب données وفق ترتيب معيّن مثل التصاعدي أو التنازلي.",خوارزميات الفرز تُستعمل لترتيب البيانات، مثل وضعها من الأصغر إلى الأكبر.
7,Object-Oriented Programming,fr,"Un objet est une instance concrète d'une classe, possédant ses propres valeurs pour les attributs définis.","Un objet est une instance concrète d'une classe, possédant ses propres valeurs pour les attributs définis.",classe=صنف | objet=كائن,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- classe = صنف
- objet = كائن

Text:
Un objet est une instance concrète d'une classe, possédant ses propres valeurs pour les attributs définis.",الكائن هو نسخة فعلية من الصنف، وله قيمه الخاصة للخصائص.
34,Operating Systems,fr,Le système de fichiers organise les données sur le disque en dossiers et fichiers pour faciliter leur stockage et leur accès.,Le système de fichiers organise les données sur le disque en dossiers et fichiers pour faciliter leur stockage et leur accès.,file=طابور | stockage=تخزين | système de fichiers=نظام ملفات,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- file = طابور
- stockage = تخزين
- système de fichiers = نظام ملفات

Text:
Le système de fichiers organise les données sur le disque en dossiers et fichiers pour faciliter leur stockage et leur accès.",نظام الملفات ينظم البيانات في ملفات ومجلدات لتسهيل حفظها والوصول إليها.
117,Algorithms,fr,La recherche en profondeur explore les nœuds d'un graphe en profondeur.,La recherche en profondeur explore les nœuds d'un graphe en profondeur.,graphe=رسم بياني,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- graphe = رسم بياني

Text:
La recherche en profondeur explore les nœuds d'un graphe en profondeur.",البحث العميق يزور العقد في الرسم البياني بشكل متتابع نحو العمق.
50,Cloud Computing Fundamentals,ar,تتميز الحوسبة السحابية بالمرونة لأنها تسمح بزيادة الموارد أو تقليلها حسب الحاجة.,تتميز الحوسبة السحابية بالمرونة لأنها تسمح بزيادة الموارد أو تقليلها حسب الحاجة.,cloud computing=حوسبة سحابية,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- cloud computing = حوسبة سحابية

Text:
تتميز الحوسبة السحابية بالمرونة لأنها تسمح بزيادة الموارد أو تقليلها حسب الحاجة.",الحوسبة السحابية مرنة لأنها تسمح بتكبير الموارد أو تقليلها حسب الحاجة.
97,Web Development,fr,Les cookies permettent aux sites web de stocker des informations sur le navigateur de l'utilisateur.,Les cookies permettent aux sites web de stocker des informations sur le navigateur de l'utilisateur.,site web=موقع ويب | navigateur=متصفح | cookie=ملف تعريف الارتباط,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- site web = موقع ويب
- navigateur = متصفح
- cookie = ملف تعريف الارتباط

Text:
Les cookies permettent aux sites web de stocker des informations sur le navigateur de l'utilisateur.",الكوكيز تسمح للمواقع بحفظ معلومات صغيرة في متصفح المستخدم.
60,Web Development,ar,يُستخدم إطار العمل لتسهيل بناء التطبيقات وتوفير أدوات جاهزة للمطورين.,يُستخدم إطار العمل لتسهيل بناء التطبيقات وتوفير أدوات جاهزة للمطورين.,framework=إطار عمل,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- framework = إطار عمل

Text:
يُستخدم إطار العمل لتسهيل بناء التطبيقات وتوفير أدوات جاهزة للمطورين.",إطار العمل يوفر أدوات وقواعد تساعد المطور على بناء التطبيقات بسرعة.
100,Web Development,ar,يُستخدم التوجيه في تطبيقات الويب لتحديد الصفحة التي يجب عرضها.,يُستخدم التوجيه في تطبيقات الويب لتحديد الصفحة التي يجب عرضها.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
يُستخدم التوجيه في تطبيقات الويب لتحديد الصفحة التي يجب عرضها.",التوجيه يحدد أي صفحة أو مكون يجب عرضه في التطبيق.
71,Cloud Computing Fundamentals,fr,Le cloud computing permet d'utiliser des ressources informatiques via Internet.,Le cloud computing permet d'utiliser des ressources informatiques via Internet.,internet=الإنترنت | cloud computing=حوسبة سحابية,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- internet = الإنترنت
- cloud computing = حوسبة سحابية

Text:
Le cloud computing permet d'utiliser des ressources informatiques via Internet.",الحوسبة السحابية تسمح باستخدام موارد الحاسوب عبر الإنترنت.
105,Networking,ar,تساعد الجدران النارية في حماية الشبكات من الهجمات.,تساعد الجدران النارية في حماية الشبكات من الهجمات.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تساعد الجدران النارية في حماية الشبكات من الهجمات.",الجدار الناري يراقب حركة الشبكة ويمنع الاتصالات الضارة.
58,Web Development,ar,يُستخدم JSON لنقل البيانات بين الخادم والتطبيقات بطريقة سهلة القراءة.,يُستخدم JSON لنقل données بين serveur والتطبيقات بطريقة سهلة القراءة.,serveur=خادم | serveur web=خادم ويب | JSON=تنسيق JSON | serveurs=خوادم,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- serveur = خادم
- serveur web = خادم ويب
- JSON = تنسيق JSON
- serveurs = خوادم

Text:
يُستخدم JSON لنقل données بين serveur والتطبيقات بطريقة سهلة القراءة.",JSON هو تنسيق بسيط يُستخدم لإرسال البيانات بين الخادم والتطبيق.
55,Databases,ar,يُستخدم النسخ الاحتياطي لحماية البيانات من الفقدان.,يُستخدم النسخ الاحتياطي لحماية données من الفقدان.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
يُستخدم النسخ الاحتياطي لحماية données من الفقدان.",النسخ الاحتياطي هو حفظ نسخة من البيانات حتى يمكن استرجاعها عند حدوث مشكلة.
10,Object-Oriented Programming,fr,Le polymorphisme permet à des objets de classes différentes de répondre différemment à une même méthode.,Le polymorphisme permet à des objets de classes différentes de répondre différemment à une même méthode.,méthode=دالة | classe=صنف | objet=كائن | polymorphisme=تعدد الأشكال,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- méthode = دالة
- classe = صنف
- objet = كائن
- polymorphisme = تعدد الأشكال

Text:
Le polymorphisme permet à des objets de classes différentes de répondre différemment à une même méthode.",تعدد الأشكال يعني أن كائنات مختلفة يمكنها تنفيذ نفس الوظيفة بطرق مختلفة.
51,Databases,fr,Une transaction garantit que plusieurs opérations sur une base de données sont exécutées comme une seule unité cohérente.,Une transaction garantit que plusieurs opérations sur une base de données sont exécutées comme une seule unité cohérente.,base de données=قاعدة بيانات | transaction=معاملة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- base de données = قاعدة بيانات
- transaction = معاملة

Text:
Une transaction garantit que plusieurs opérations sur une base de données sont exécutées comme une seule unité cohérente.",المعاملة في قاعدة البيانات تعني تنفيذ عدة عمليات معًا كوحدة واحدة بحيث تنجح كلها أو تفشل كلها.
1,Programming Fundamentals,fr,Une variable est un espace mémoire nommé utilisé pour stocker une valeur qui peut changer pendant l'exécution du programme.,Une variable est un espace mémoire nommé utilisé pour stocker une valeur qui peut changer pendant l'exécution du programme.,variable=متغير | programme=برنامج | exécution=تنفيذ | mémoire=ذاكرة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- variable = متغير
- programme = برنامج
- exécution = تنفيذ
- mémoire = ذاكرة

Text:
Une variable est un espace mémoire nommé utilisé pour stocker une valeur qui peut changer pendant l'exécution du programme.",المتغير هو مكان في الذاكرة نضع فيه قيمة، ويمكن أن تتغير هذه القيمة أثناء تشغيل البرنامج.
118,Algorithms,ar,يستكشف البحث العرضي العقد مستوى بعد مستوى.,يستكشف البحث العرضي العقد مستوى بعد مستوى.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
يستكشف البحث العرضي العقد مستوى بعد مستوى.",البحث العرضي يزور العقد طبقة بعد طبقة.
41,Cybersecurity Basics,fr,Le chiffrement transforme les données en une forme illisible pour protéger leur confidentialité.,Le chiffrement transforme les données en une forme illisible pour protéger leur confidentialité.,chiffrement=تشفير,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- chiffrement = تشفير

Text:
Le chiffrement transforme les données en une forme illisible pour protéger leur confidentialité.",التشفير يحول البيانات إلى شكل غير مفهوم لحمايتها من القراءة غير المصرح بها.
113,Cloud Computing Fundamentals,ar,تساعد موازنة الحمل على توزيع الطلبات بين الخوادم.,تساعد موازنة الحمل على توزيع الطلبات بين الخوادم.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تساعد موازنة الحمل على توزيع الطلبات بين الخوادم.",موازنة الحمل توزع الطلبات على عدة خوادم لتجنب الضغط.
123,Databases,ar,يُستخدم GROUP BY لتجميع السجلات التي لها نفس القيمة.,يُستخدم GROUP BY لتجميع السجلات التي لها نفس القيمة.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
يُستخدم GROUP BY لتجميع السجلات التي لها نفس القيمة.",GROUP BY يجمع السجلات التي تشترك في نفس القيمة.
43,Cybersecurity Basics,ar,يُعد التصيد الاحتيالي من الهجمات الشائعة التي تحاول خداع المستخدم للحصول على معلومات حساسة.,يُعد التصيد الاحتيالي من الهجمات الشائعة التي تحاول خداع utilisateur للحصول على معلومات حساسة.,phishing=تصيد احتيالي,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- phishing = تصيد احتيالي

Text:
يُعد التصيد الاحتيالي من الهجمات الشائعة التي تحاول خداع utilisateur للحصول على معلومات حساسة.",التصيد الاحتيالي هو محاولة خداع المستخدم حتى يكشف معلومات مهمة مثل كلمة المرور.
79,Algorithms,fr,Une pile fonctionne selon le principe dernier entré أول خارج.,Une pile fonctionne selon le principe dernier entré أول خارج.,fonction=دالة | pile=مكدس,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- fonction = دالة
- pile = مكدس

Text:
Une pile fonctionne selon le principe dernier entré أول خارج.",المكدس يعمل وفق مبدأ آخر عنصر دخل هو أول عنصر يخرج.
107,Software Engineering,fr,Un dépôt Git contient l'historique complet du projet.,Un dépôt Git contient l'historique complet du projet.,version control=التحكم في الإصدارات | dépôt git=مستودع Git,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- version control = التحكم في الإصدارات
- dépôt git = مستودع Git

Text:
Un dépôt Git contient l'historique complet du projet.",مستودع Git يحتوي على جميع التغييرات التي حدثت في المشروع.
93,Databases,ar,يُستخدم الفهرس المركب لتسريع البحث في أكثر من عمود.,يُستخدم الفهرس المركب لتسريع البحث في أكثر من عمود.,index=فهرس,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- index = فهرس

Text:
يُستخدم الفهرس المركب لتسريع البحث في أكثر من عمود.",الفهرس المركب يساعد على تسريع البحث عندما يعتمد على عدة أعمدة.
119,Algorithms,fr,La récursivité permet à une fonction de s'appeler elle-même.,La récursivité permet à une fonction de s'appeler elle-même.,fonction=دالة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- fonction = دالة

Text:
La récursivité permet à une fonction de s'appeler elle-même.",الاستدعاء الذاتي يعني أن الدالة يمكن أن تستدعي نفسها.
57,Web Development,fr,Une API permet à différentes applications de communiquer entre elles.,Une API permet à différentes applications de communiquer entre elles.,API=واجهة برمجة التطبيقات,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- API = واجهة برمجة التطبيقات

Text:
Une API permet à différentes applications de communiquer entre elles.",واجهة البرمجة API تسمح للتطبيقات المختلفة بالتواصل وتبادل البيانات.
